#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         450     -0.7624   -0.763143  0.00449976
         451      -0.764   -0.763145  0.00448978
         452      -0.684    -0.76297  0.00448326
         453     -0.8464   -0.763154  0.00447715
         454      -0.764   -0.763156  0.00446728
         455       -0.76   -0.763149  0.00445747
         456     -0.8408   -0.763319  0.00445095
         457     -0.8416   -0.763491   0.0044445
         458     -0.7608   -0.763485   0.0044348
         459       -0.68   -0.763303  0.00442887
         460     -0.7584   -0.763292  0.00441925
         461       -0.68   -0.763111  0.00441336
         462     -0.6808   -0.762933   0.0044074
         463     -0.6832   -0.762761  0.00440125
         464     -0.7656   -0.762767  0.00439176
         465     -0.8464   -0.762947    0.004386
         466     -0.8472   -0.763128  0.00438031
         467      -0.768   -0.763138  0.00437095
         468     -0.6864   -0.762974  0.00436468
         469     -0.6032   -0.762634  0.00436865
         470     -0.5984   -0.762284  0.00437331
         471     -0.6736   -0.762096  0.00436807
         472     -0.5968   -0.761746  0.00437284
         473     -0.8352   -0.761901  0.00436635
         474      -0.836   -0.762057  0.00435993
         475     -0.8352   -0.762211  0.00435347
         476      -0.836   -0.762366  0.00434709
         477      -0.756   -0.762353  0.00433799
         478      -0.672   -0.762164  0.00433303
         479     -0.6736   -0.761979  0.00432793
         480     -0.7536   -0.761962  0.00431895
         481     -0.7536   -0.761944  0.00431001
         482     -0.5968   -0.761602  0.00431466
         483      -0.756    -0.76159  0.00430574
         484     -0.8392    -0.76175  0.00429983
         485     -0.8424   -0.761917  0.00429418
         486     -0.6832   -0.761755   0.0042884
         487       -0.84   -0.761915   0.0042826
         488     -0.7608   -0.761913  0.00427383
         489     -0.7592   -0.761908  0.00426509
         490      -0.676   -0.761732  0.00425999
         491     -0.8352   -0.761882  0.00425394
         492      -0.836   -0.762033  0.00424796
         493      -0.836   -0.762183  0.00424199
         494     -0.8384   -0.762337  0.00423621
         495       -0.76   -0.762332  0.00422765
         496       -0.84   -0.762489  0.00422203
         497       -0.76   -0.762484  0.00421354
         498     -0.7624   -0.762484  0.00420508
         499     -0.8432   -0.762645  0.00419976
         500     -0.8416   -0.762803  0.00419433
         501     -0.7608   -0.762799  0.00418596
         502     -0.7592   -0.762792  0.00417762
         503     -0.8408   -0.762947   0.0041722
         504     -0.7608   -0.762943  0.00416392
         505     -0.7568   -0.762931  0.00415569
         506     -0.7568   -0.762919   0.0041475
         507     -0.8376   -0.763066  0.00414193
         508     -0.7568   -0.763054   0.0041338
         509     -0.7584   -0.763044  0.00412569
         510     -0.8376   -0.763191  0.00412019
         511     -0.8392   -0.763339  0.00411481
         512     -0.7584    -0.76333  0.00410678
         513     -0.7584    -0.76332  0.00409879
         514     -0.8384   -0.763466  0.00409341
         515     -0.6768   -0.763298  0.00408892
         516      -0.672   -0.763121  0.00408483
         517     -0.6744   -0.762949  0.00408053
         518     -0.6792   -0.762788  0.00407585
         519     -0.8416   -0.762939  0.00407083
         520     -0.8408   -0.763089  0.00406575
         521     -0.7648   -0.763093  0.00405795
         522      -0.688   -0.762949  0.00405272
         523     -0.6896   -0.762808   0.0040474
         524     -0.7704   -0.762823   0.0040397
         525     -0.7712   -0.762839  0.00403204
         526     -0.7712   -0.762855  0.00402441
