#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
       478                -0.4            0.141674           0.0163466
       479               -0.32             0.14071           0.0163409
       480               -0.32             0.13975            0.016335
       481               -0.32            0.138794            0.016329
       482               -0.16            0.138174           0.0163069
       483                -0.2            0.137474           0.0162882
       484               -0.04            0.137107           0.0162586
       485                0.12            0.137072           0.0162251
       486                0.16            0.137119           0.0161918
       487                   0            0.136838            0.016161
       488                0.04            0.136639           0.0161291
       489               -0.04            0.136278           0.0161002
       490                -0.2            0.135592            0.016082
       491               -0.24            0.134827           0.0160674
       492                -0.2            0.134146           0.0160491
       493                -0.2            0.133469           0.0160309
       494               -0.08            0.133036           0.0160043
       495                   0            0.132768           0.0159742
       496                   0              0.1325           0.0159442
       497                   0            0.132233           0.0159144
       498                0.12            0.132209           0.0158824
       499                0.16            0.132265           0.0158507
       500                0.08             0.13216           0.0158193
       501                0.04            0.131976           0.0157888
       502               -0.04            0.131633           0.0157611
       503                0.04            0.131451           0.0157308
       504                0.04             0.13127           0.0157006
       505               -0.16            0.130693           0.0156801
       506               -0.16            0.130119           0.0156597
       507               -0.12            0.129625           0.0156366
       508               -0.16            0.129055           0.0156162
       509               -0.08            0.128644           0.0155909
       510               -0.12            0.128157           0.0155679
       511               -0.04            0.127828            0.015541
       512               -0.08            0.127422           0.0155159
       513               -0.08            0.127018           0.0154909
       514               -0.08            0.126615            0.015466
       515               -0.16            0.126058            0.015446
       516                -0.4            0.125039           0.0154497
       517               -0.28            0.124255           0.0154396
       518               -0.04            0.123938           0.0154131
       519                0.08            0.123854           0.0153836
       520                0.04            0.123692           0.0153549
       521                0.24            0.123916            0.015327
       522                 0.4            0.124444           0.0153068
       523                0.48            0.125124           0.0152926
       524                0.52            0.125878            0.015282
       525                0.56            0.126705           0.0152752
       526                0.56            0.127529           0.0152684
       527                0.52            0.128273           0.0152576
       528                0.48            0.128939           0.0152432
       529                 0.4            0.129452            0.015223
       530                0.36            0.129887           0.0152005
       531                0.36             0.13032            0.015178
       532                0.28            0.130602           0.0151521
       533                0.08            0.130507            0.015124
       534                   0            0.130262           0.0150976
       535                0.04            0.130093           0.0150704
       536                0.16            0.130149           0.0150424
       537                0.12             0.13013           0.0150144
       538                 0.2             0.13026            0.014987
       539                0.28            0.130538           0.0149618
       540                0.32            0.130889           0.0149382
       541                 0.4            0.131386           0.0149189
       542                0.32            0.131734           0.0148954
       543                0.28            0.132007           0.0148705
       544                 0.2            0.132132           0.0148436
       545                0.04            0.131963           0.0148174
       546               -0.12            0.131502           0.0147974
       547                0.04            0.131335           0.0147713
       548               -0.16            0.130803           0.0147539
       549                   0            0.130565            0.014729
       550                0.04              0.1304           0.0147031
       551               -0.16            0.129873           0.0146859
       552               -0.08            0.129493           0.0146642
       553               -0.08            0.129114           0.0146426
       554               -0.12            0.128664            0.014623
       555               -0.04             0.12836           0.0145998
       556                0.04            0.128201           0.0145745
       557                0.04            0.128043           0.0145491
       558                0.04            0.127885           0.0145239
       559                0.12            0.127871            0.014498
       560                0.16            0.127929           0.0144722
       561                0.12            0.127914           0.0144464
       562               -0.08            0.127544           0.0144254
       563               -0.08            0.127176           0.0144045
       564               -0.12            0.126738           0.0143856
       565               -0.04            0.126442           0.0143632
       566                   0            0.126219           0.0143396
       567                   0            0.125996            0.014316
       568                 0.2            0.126127           0.0142914
       569                0.44            0.126678           0.0142769
       570                0.24            0.126877           0.0142532
       571                0.08            0.126795           0.0142285
       572                0.04            0.126643           0.0142045
       573               -0.04            0.126353           0.0141826
       574                   0            0.126132           0.0141596
       575                   0            0.125913           0.0141367
       576               -0.12            0.125486           0.0141186
       577               -0.12            0.125061           0.0141006
       578               -0.12            0.124637           0.0140825
       579               -0.08            0.124283           0.0140626
       580               -0.04               0.124           0.0140413
       581                   0            0.123787           0.0140187
       582               -0.24            0.123162           0.0140085
       583               -0.24            0.122539           0.0139984
       584                -0.2            0.121986           0.0139853
       585                -0.2            0.121436           0.0139722
       586               -0.04             0.12116           0.0139511
       587                   0            0.120954           0.0139288
       588               -0.04             0.12068           0.0139078
       589                0.12            0.120679           0.0138842
       590               -0.04            0.120407           0.0138634
       591               -0.32            0.119662           0.0138599
       592               -0.32            0.118919           0.0138564
       593                -0.2            0.118381           0.0138435
       594                   0            0.118182           0.0138216
       595                0.04             0.11805            0.013799
       596               -0.08            0.117718           0.0137798
       597               -0.08            0.117387           0.0137607
       598                   0            0.117191           0.0137391
       599                   0            0.116995           0.0137176
       600                0.24              0.1172           0.0136962
       601                0.16            0.117271           0.0136736
       602                0.24            0.117475           0.0136524
       603                0.28            0.117745           0.0136325
       604                0.28            0.118013           0.0136125
       605                 0.2            0.118149           0.0135907
       606                   0            0.117954           0.0135697
       607                0.16            0.118023           0.0135475
       608                0.12            0.118026           0.0135252
       609                0.04            0.117898           0.0135036
       610               -0.08            0.117574           0.0134854
       611               -0.04            0.117316           0.0134658
       612                0.08            0.117255           0.0134439
       613                0.08            0.117194           0.0134221
       614                0.04            0.117068           0.0134008
       615               -0.04            0.116813           0.0133815
       616               -0.08            0.116494           0.0133636
       617               -0.28            0.115851           0.0133574
       618               -0.24            0.115275           0.0133482
       619                -0.2            0.114766           0.0133363
       620               -0.08            0.114452           0.0133185
       621                0.04            0.114332           0.0132976
       622                0.08            0.114277           0.0132763
       623                0.12            0.114286            0.013255
       624                0.32            0.114615           0.0132379
       625                0.36            0.115008           0.0132225
       626                0.36            0.115399           0.0132072
       627                 0.4            0.115853           0.0131939
       628                0.44            0.116369            0.013183
       629                 0.4             0.11682           0.0131697
       630                0.52             0.11746           0.0131644
       631                0.44            0.117971           0.0131534
       632                 0.6            0.118734           0.0131547
       633                0.68            0.119621           0.0131638
       634                0.68            0.120505           0.0131727
