#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         656    0.566591    0.635938  0.00555933
         657    0.566322    0.635832  0.00555188
         658    0.566119    0.635726  0.00554445
         659    0.565987     0.63562  0.00553705
         660    0.565928    0.635515  0.00552966
         661    0.565949    0.635409   0.0055223
         662    0.566052    0.635305  0.00551495
         663     0.56624      0.6352  0.00550762
         664    0.566516    0.635097  0.00550029
         665    0.566882    0.634994  0.00549298
         666    0.567339    0.634893  0.00548567
         667    0.567886    0.634792  0.00547837
         668    0.568522    0.634693  0.00547106
         669    0.569246    0.634595  0.00546376
         670    0.570056    0.634499  0.00545645
         671    0.570949    0.634404  0.00544914
         672    0.571922    0.634311  0.00544183
         673    0.572971     0.63422   0.0054345
         674    0.574088    0.634131  0.00542717
         675    0.575269    0.634044  0.00541983
         676    0.576506    0.633959  0.00541249
         677    0.577793    0.633876  0.00540513
         678    0.579122    0.633795  0.00539776
         679    0.580486    0.633716  0.00539038
         680    0.581876     0.63364  0.00538299
         681    0.583286    0.633566  0.00537559
         682    0.584708    0.633495  0.00536819
         683    0.586134    0.633425  0.00536078
         684    0.587556    0.633358  0.00535336
         685    0.588966    0.633293  0.00534594
         686    0.590357    0.633231  0.00533851
         687    0.591723     0.63317  0.00533108
         688    0.593058    0.633112  0.00532365
         689    0.594354    0.633056  0.00531622
         690    0.595606    0.633002  0.00530879
         691     0.59681    0.632949  0.00530137
         692    0.597959    0.632899  0.00529395
         693    0.599051     0.63285  0.00528654
         694    0.600081    0.632803  0.00527913
         695    0.601046    0.632757  0.00527173
         696    0.601942    0.632713  0.00526434
         697    0.602768     0.63267  0.00525697
         698    0.603521    0.632628   0.0052496
         699    0.604199    0.632587  0.00524225
         700    0.604802    0.632548  0.00523491
         701    0.605329    0.632509  0.00522758
         702    0.605779    0.632471  0.00522028
         703    0.606152    0.632433  0.00521299
         704    0.606449    0.632396  0.00520571
         705     0.60667     0.63236  0.00519845
         706    0.606815    0.632324  0.00519122
         707    0.606886    0.632288    0.005184
         708    0.606886    0.632252   0.0051768
         709    0.606817    0.632216  0.00516962
         710     0.60668     0.63218  0.00516247
         711    0.606478    0.632144  0.00515533
         712    0.606213    0.632107  0.00514822
         713     0.60589    0.632071  0.00514113
         714    0.605511    0.632033  0.00513407
         715    0.605079    0.631996  0.00512702
         716    0.604598    0.631957  0.00512001
         717    0.604071    0.631919  0.00511301
         718    0.603503    0.631879  0.00510605
