#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         454   -0.545988   -0.516219 0.000923173
         455   -0.545591   -0.516283 0.000923398
         456   -0.545169   -0.516347 0.000923543
         457   -0.544724   -0.516409 0.000923607
         458   -0.544254    -0.51647 0.000923589
         459   -0.543762   -0.516529 0.000923489
         460   -0.543258   -0.516587 0.000923308
         461    -0.54273   -0.516644 0.000923045
         462   -0.542185   -0.516699 0.000922701
         463   -0.541625   -0.516753 0.000922277
         464   -0.541049   -0.516805 0.000921775
         465   -0.540454   -0.516856 0.000921195
         466   -0.539842   -0.516906 0.000920537
         467   -0.539223   -0.516953 0.000919806
         468   -0.538591      -0.517 0.000919002
         469   -0.537947   -0.517044 0.000918127
         470   -0.537294   -0.517087 0.000917184
         471    -0.53663   -0.517129 0.000916175
         472    -0.53596   -0.517169 0.000915102
         473   -0.535278   -0.517207 0.000913968
         474   -0.534592   -0.517244 0.000912775
         475   -0.533901   -0.517279 0.000911527
         476   -0.533207   -0.517312 0.000910226
         477   -0.532514   -0.517344 0.000908875
         478   -0.531816   -0.517374 0.000907478
         479   -0.531117   -0.517403 0.000906037
         480   -0.530418    -0.51743 0.000904555
         481   -0.529729   -0.517456 0.000903036
         482   -0.529038    -0.51748 0.000901482
         483   -0.528352   -0.517502 0.000899896
         484   -0.527671   -0.517523 0.000898282
         485   -0.526999   -0.517543 0.000896643
         486   -0.526342   -0.517561  0.00089498
         487   -0.525693   -0.517578 0.000893298
         488   -0.525064   -0.517593   0.0008916
         489    -0.52445   -0.517607 0.000889887
         490   -0.523859    -0.51762 0.000888162
         491   -0.523286   -0.517631 0.000886428
         492   -0.522735   -0.517642 0.000884687
         493   -0.522209   -0.517651 0.000882941
         494   -0.521715   -0.517659 0.000881192
         495   -0.521245   -0.517666 0.000879442
         496   -0.520805   -0.517673 0.000877691
         497     -0.5204   -0.517678 0.000875943
         498   -0.520033   -0.517683 0.000874196
         499   -0.519698   -0.517687 0.000872454
         500   -0.519404    -0.51769 0.000870716
         501   -0.519152   -0.517693 0.000868983
         502   -0.518939   -0.517696 0.000867255
         503    -0.51877   -0.517698 0.000865534
         504   -0.518643     -0.5177 0.000863818
         505   -0.518559   -0.517702 0.000862109
         506   -0.518518   -0.517703 0.000860407
         507   -0.518527   -0.517705 0.000858712
         508   -0.518581   -0.517706 0.000857023
         509   -0.518679   -0.517708 0.000855341
         510   -0.518821   -0.517711 0.000853667
         511   -0.519011   -0.517713    0.000852
         512   -0.519243   -0.517716 0.000850341
         513   -0.519522    -0.51772 0.000848691
         514   -0.519841   -0.517724  0.00084705
         515   -0.520202   -0.517729 0.000845419
         516   -0.520606   -0.517734 0.000843799
         517   -0.521051   -0.517741 0.000842191
         518   -0.521531   -0.517748 0.000840597
         519   -0.522054   -0.517756 0.000839018
         520   -0.522607   -0.517765 0.000837457
         521   -0.523187   -0.517776 0.000835914
         522   -0.523808   -0.517787 0.000834392
         523   -0.524458     -0.5178 0.000832895
         524   -0.525138   -0.517814 0.000831423
         525   -0.525846    -0.51783  0.00082998
         526   -0.526573   -0.517846 0.000828568
         527   -0.527323   -0.517864 0.000827191
         528   -0.528097   -0.517884 0.000825852
         529   -0.528891   -0.517904 0.000824553
         530   -0.529703   -0.517927 0.000823297
         531   -0.530524    -0.51795 0.000822089
         532   -0.531358   -0.517975  0.00082093
         533   -0.532205   -0.518002 0.000819823
         534   -0.533065    -0.51803 0.000818773
         535    -0.53393    -0.51806 0.000817782
         536   -0.534796   -0.518091 0.000816852
         537   -0.535667   -0.518124 0.000815986
         538   -0.536533   -0.518158 0.000815187
         539     -0.5374   -0.518194 0.000814456
         540   -0.538266   -0.518231 0.000813795
         541   -0.539126    -0.51827 0.000813207
         542    -0.53998    -0.51831 0.000812692
         543   -0.540823   -0.518351 0.000812253
         544   -0.541653   -0.518394 0.000811888
         545   -0.542469   -0.518438 0.000811599
         546   -0.543269   -0.518484 0.000811386
         547   -0.544055   -0.518531 0.000811248
         548   -0.544823   -0.518579 0.000811185
         549   -0.545572   -0.518628 0.000811197
         550   -0.546303   -0.518678 0.000811281
         551   -0.547007   -0.518729 0.000811436
         552   -0.547696   -0.518782 0.000811661
         553   -0.548356   -0.518835 0.000811953
         554   -0.548994    -0.51889  0.00081231
         555   -0.549601   -0.518945 0.000812729
