#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
       525                 0.2             0.26979           0.0170976
       526                0.12            0.269506           0.0170674
       527                 0.2            0.269374           0.0170355
       528                0.48            0.269773            0.017008
       529                0.52            0.270246           0.0169824
       530                0.48            0.270642           0.0169549
       531                0.12            0.270358           0.0169254
       532                0.16             0.27015           0.0168948
       533                0.32            0.270244           0.0168634
       534                 0.6            0.270861           0.0168431
       535                0.56            0.271402           0.0168203
       536                 0.6            0.272015           0.0168001
       537                0.72            0.272849           0.0167895
       538                0.68            0.273606           0.0167754
       539                 0.8            0.274583           0.0167726
       540                0.88            0.275704            0.016779
       541                0.84            0.276747           0.0167804
       542                0.84            0.277786           0.0167816
       543                0.68            0.278527            0.016767
       544                0.56            0.279044           0.0167442
       545                0.32            0.279119           0.0167136
       546                0.48            0.279487            0.016687
       547                0.44            0.279781           0.0166591
       548                0.12            0.279489           0.0166313
       549                0.04            0.279053           0.0166067
       550                -0.2            0.278182           0.0165993
       551               -0.08            0.277532           0.0165819
       552               -0.04            0.276957           0.0165619
       553                0.04            0.276528           0.0165375
       554                 0.2             0.27639           0.0165082
       555                0.04            0.275964           0.0164839
       556               -0.12            0.275252           0.0164697
       557               -0.12            0.274542           0.0164554
       558                0.04            0.274122           0.0164313
       559                0.28            0.274132           0.0164019
       560                0.32            0.274214           0.0163728
       561                0.52            0.274652           0.0163495
       562                0.44            0.274947            0.016323
       563                 0.4            0.275169           0.0162955
       564                0.56            0.275674           0.0162745
       565                0.36            0.275823           0.0162463
       566                0.32            0.275901           0.0162178
       567                0.28            0.275908           0.0161892
       568                0.36            0.276056           0.0161614
       569                0.44            0.276344           0.0161356
       570                0.52            0.276772           0.0161129
       571                0.68            0.277478           0.0161002
       572                0.84            0.278462            0.016102
       573                0.92            0.279581           0.0161128
       574                0.92            0.280697           0.0161233
       575                0.88            0.281739           0.0161289
       576                0.84            0.282708             0.01613
       577                0.76            0.283536           0.0161233
       578                0.68            0.284221           0.0161099
       579                0.44            0.284491           0.0160844
       580                 0.2            0.284345           0.0160573
       581                0.08            0.283993           0.0160335
       582                   0            0.283505           0.0160134
       583                0.08            0.283156           0.0159897
       584                   0            0.282671           0.0159697
       585                   0            0.282188           0.0159497
       586                 0.2            0.282048           0.0159231
       587                0.04            0.281635           0.0159013
       588                   0            0.281156           0.0158815
       589                 0.2            0.281019           0.0158551
       590                0.08            0.280678           0.0158319
       591               -0.12                0.28           0.0158196
       592               -0.28            0.279054           0.0158212
       593               -0.32            0.278044           0.0158267
       594               -0.24            0.277172           0.0158241
       595                -0.2             0.27637           0.0158178
       596               -0.12            0.275705           0.0158052
       597                0.04             0.27531           0.0157837
       598                -0.2            0.274515           0.0157773
       599               -0.48            0.273255           0.0158011
       600               -0.68            0.271667           0.0158545
       601               -0.44            0.270483           0.0158722
