#  BLOCK      BIN       VELOCITY     AVE_POFV    CUM_POFV      ERROR
      20      14            5.8         0.0125     0.00694444     0.00194617
      20      15            6.2              0     0.00298611     0.00143555
      20      16            6.6              0     0.00109954      0.0010717
      20      17              7              0              0              0
      20      18            7.4              0              0              0
      20      19            7.8              0              0              0
      21       0            0.2      0.0131944      0.0237103     0.00417114
      21       1            0.6       0.180787       0.102282     0.00970983
      21       2              1        0.23588        0.23933      0.0144955
      21       3            1.4       0.483565        0.33642      0.0171702
      21       4            1.8       0.422917       0.386321      0.0140029
      21       5            2.2       0.334491       0.395966      0.0143049
      21       6            2.6       0.397685       0.422244      0.0081802
      21       7              3       0.224306       0.273666      0.0142473
      21       8            3.4      0.0930556       0.167493      0.0135104
      21       9            3.8      0.0946759      0.0920966     0.00755775
      21      10            4.2     0.00208333      0.0288801     0.00585194
      21      11            4.6      0.0025463     0.00835538     0.00254297
      21      12              5     0.00462963     0.00170855    0.000871645
      21      13            5.4     0.00486111      0.0107694      0.0021741
      21      14            5.8     0.00532407     0.00686728     0.00185502
      21      15            6.2              0     0.00284392     0.00137421
      21      16            6.6              0     0.00104718     0.00102194
      21      17              7              0              0              0
      21      18            7.4              0              0              0
      21      19            7.8              0              0              0
      22       0            0.2      0.0231481      0.0236848     0.00398162
      22       1            0.6       0.142593       0.104114     0.00943978
      22       2              1       0.337963       0.243813      0.0145134
      22       3            1.4       0.465509       0.342287      0.0173634
      22       4            1.8       0.374074       0.385764      0.0133775
      22       5            2.2       0.346759       0.393729      0.0138285
      22       6            2.6       0.390972       0.420823     0.00793091
      22       7              3       0.246759       0.272443      0.0136521
      22       8            3.4        0.06875       0.163005      0.0136215
      22       9            3.8      0.0803241      0.0915614     0.00723313
      22      10            4.2              0      0.0275673     0.00573129
      22      11            4.6              0     0.00797559     0.00245558
      22      12              5              0     0.00163089    0.000835477
      22      13            5.4      0.0231481      0.0113321     0.00214685
      22      14            5.8              0     0.00655513     0.00179677
      22      15            6.2              0     0.00271465     0.00131782
      22      16            6.6              0    0.000999579    0.000976597
      22      17              7              0              0              0
      22      18            7.4              0              0              0
      22      19            7.8              0              0              0
      23       0            0.2      0.0247685      0.0237319     0.00380879
      23       1            0.6         0.1875        0.10774     0.00970061
      23       2              1       0.355787       0.248682      0.0146762
      23       3            1.4       0.439815       0.346528      0.0171184
      23       4            1.8       0.343056       0.383907      0.0129241
      23       5            2.2       0.356713        0.39212      0.0133205
      23       6            2.6       0.365046       0.418398     0.00794821
      23       7              3       0.198148       0.269213      0.0134353
      23       8            3.4      0.0944444       0.160024      0.0133514
      23       9            3.8       0.111574      0.0924316     0.00697079
      23      10            4.2              0      0.0263688     0.00560603
      23      11            4.6              0     0.00762882     0.00237317
      23      12              5              0     0.00155998    0.000802155
      23      13            5.4      0.0231481      0.0118458     0.00211408
      23      14            5.8              0     0.00627013     0.00174111
      23      15            6.2              0     0.00259662     0.00126579
      23      16            6.6              0    0.000956119    0.000935103
      23      17              7              0              0              0
      23      18            7.4              0              0              0
      23      19            7.8              0              0              0
      24       0            0.2     0.00601852      0.0229938     0.00372091
      24       1            0.6       0.216898       0.112288      0.0103077
      24       2              1         0.3625       0.253424      0.0148111
      24       3            1.4       0.355787       0.346914      0.0164095
      24       4            1.8        0.43912       0.386208      0.0125887
      24       5            2.2       0.366898       0.391069      0.0128069
      24       6            2.6       0.352083       0.415635     0.00808306
      24       7              3       0.174074       0.265249      0.0134476
      24       8            3.4      0.0993056       0.157494      0.0130326
      24       9            3.8       0.108333      0.0930941     0.00671175
      24      10            4.2     0.00555556      0.0255015     0.00543911
      24      11            4.6     0.00532407     0.00753279     0.00227623
      24      12              5     0.00231481     0.00159144    0.000769349
      24      13            5.4     0.00578704      0.0115934     0.00204102
      24      14            5.8              0     0.00600887     0.00168805
      24      15            6.2              0     0.00248843     0.00121767
      24      16            6.6              0    0.000916281    0.000896989
      24      17              7              0              0              0
      24      18            7.4              0              0              0
      24      19            7.8              0              0              0
      25       0            0.2       0.037963      0.0235926     0.00361993
      25       1            0.6       0.218287       0.116528       0.010732
      25       2              1       0.351389       0.257343      0.0147279
      25       3            1.4       0.332639       0.346343       0.015763
      25       4            1.8       0.380556       0.385981      0.0120872
      25       5            2.2       0.470602        0.39425      0.0126836
